ISBN,Title,Authors,Categories,Description,Published Date,Language,Num Pages
9788532507440,Armadilha aérea,Michael Crichton,Adventure stories,"Três passageiros mortos. Cinqüenta e seis feridos. O interior da cabine de passageiros praticamente destruído. O piloto, no entanto, consegue pousar o avião. No momento em que a questão da segurança no transporte aéreo ocupa um lugar prioritário na mente do público, um desastre a bordo de um jato comercial dispara uma frenética investigação. Erro do piloto, falha do projeto, sabotagem, essas são as possibilidades com que a equipe de engenheiros da Norton Aircraft se depara. 'Armadilha Aérea' é uma leitura sem escalas; a extraordinária fusão de suspense e verdadeira informação sobre um assunto de grande interesse que tem sido a marca registrada de Michael Crichton.",1997,pt-BR,438
9788532506436,Gostos adquiridos,Peter Mayle,Affluent consumers,"'Gostos adquiridos' é uma coletânea de crônicas sobre os restaurantes mais caros do mundo, pelas casas mais valiosas e pelos hábitos mais luxuosos. O autor Peter Mayle passou quatro viajando pelo mundo para montar o livro.",1996,pt-BR,172
9788532506740,A campanha,Carlos Fuentes,,Descrição não disponível,1996,pt-BR,255
9788532506092,Lembre-se de mim,Mary Higgins Clark,Cape Cod (Mass.),"Neste thriller psicológico, Mary Higgins Clark conta uma história que a intriga há muito tempo. História inventada há mais de 20 anos, quando estudava lendas e histórias de Cape Cod, um lugarejo onde tinha uma casa de veraneio. A tragédia se passa numa casa histórica de Cape Cod, alugada por um casal moderno, na tentativa de reconstruir suas vidas após a perda de seu filho de dois anos de idade. No entanto, incidentes estranhos começam a acontecer, envolvendo-os numa teia obscura e ameaçadora de fatos que rompem o equilíbrio desta cidade aparentemente calma.",1996,pt-BR,261
9788532504814,O cliente,John Grisham,Mafia,"A New Orleans lawyer kills himself, and the suicide is witnessed by Mark Sway, a bright 11-year-old boy, who overhears from the dying man a deadly secret about a Louisiana senator's murder. The accused killer, Mafia thug Barry Muldanno, is about to go on trial. Mark hires a lawyer, Reggie Love, and comes up with a plan.",1992,pt-BR,436
9788532505811,O 13ð jurado,John T. Lescroart,,"Dono de estilo próprio, John Lescroart prende o leitor com personagens densos, marcados por questões de culpa, à mercê dos tortuosos caminhos da Justiça americana. Um dos protagonistas de 'O 13o jurado' é Dimas Hardy, um excelente profissional, que precisa de uma causa polêmica para consolidar sua reputação. É o que ele consegue, ao se dispor a ajudar um colega em apuros. A cliente do amigo é Jennifer Witt, 28 anos, acusada de matar o marido e o filho de oito anos. O problema é que Jennifer provavelmente também foi culpada da morte do primeiro marido, há nove anos. Contrariando todas as evidências, Dimas Hardy acredita na inocência da mulher e luta com todas as forças para impedir o júri de sentenciá-la à pena de morte.",1996,pt-BR,523
9788532506658,Os numeros da natureza,Ian Stewart,,Descrição não disponível,1996,pt-BR,122
9788532505941,Flores raras e banalíssimas,Carmen L. Oliveira,Biography & Autobiography,"Em dezembro de 1951, Elizabeth Bishop desembarcou no Rio para uma escala de dois dias de uma longa viagem cujo objetivo era encontrar um sentido para sua vida em crise. Encontrou Lota de Macedo Soares, e sua estadia acabou se prolongando por 16 anos. Em Flores raras e banalíssimas, Carmen L. Oliveira conta a história do relacionamento entre a poeta americana e a paisagista e urbanista brasileira. Assumindo a homossexualidade com surpreendente naturalidade para a época, Lota e Bishop viveram um irradiante e, muitas vezes, conturbado romance, sempre cercadas de figuras marcantes da arte e da política. Na casa de campo de Samambaia e no apartamento de Copacabana, Bishop escreveu boa parte de sua celebrada obra poética. Enquanto isso, Lota lutava contra as forças burocráticas brasileiras para concretizar um velho sonho: construir o parque do Aterro do Flamengo, uma enorme área verde situada à beira da Baía de Guanabara. Obstinada com seus projetos profissionais, Lota pouco a pouco deixava Bishop cada vez mais solitária, magoada pela sensação de abandono. Flores raras e banalíssimas é o resultado de uma longa e cuidadosa pesquisa em arquivos da época, documentos inéditos, correspondências, poemas de Bishop, ofícios de Lota, diários,etc. O livro recebeu belas críticas tanto no Brasil quanto nos Estados Unidos, onde foi publicado pela Rutgers University Press. Por esta obra, Carmen L. Oliveira recebeu os prêmios Stonewall Book, da American Library Association, e Lambda Literary Award. “Flores raras e banalíssimas presta inestimável serviço: perpetua de forma inesquecível a imagem de Lota de Macedo Soares e, no processo, preenche uma lacuna crucial na biografia de Elizabeth Bishop” The New York Times Book Review. O livro de Carmen Lucia de Oliveira inspirou o filme Flores raras, de Bruno Barreto, estrelado por Glória Pires e Miranda Otto.",1995,pt-BR,260
9788532505910,Sonhos de uma teoria final a busca das leis fundamentais da natureza,Steven Weinberg,,"'Sonhos de uma teoria final' é uma grande aventura intelectual de nosso tempo. Ele descreve como, no século XX, a física transformou os pontos de vista sobre o espaço e o tempo, sobre a realidade e o conhecimento. Conta a história das paixões humanas através da trajetória das pesquisas científicas sobre os fenômenos da natureza, da existência do universo, do homem e de Deus. Consegue revelar os avanços e a complexidade da física quântica como uma descoberta das mais apaixonantes, que não dizem respeito somente a um círculo restrito de iniciados no campo científico, mas ao ser humano comum que esteja em busca de uma explicação para a existência do mundo. O cientista busca neste livro uma tese única e definitiva sobre as teorias da gravidade única, do eletromagnetismo e de forças nucleares e suas relações de causa e efeito sobre o espírito humano, que, aliás, ele acredita ser uma força física.",1996,pt-BR,246
9788532505675,O quark e o jaguar,Murray Gell-Mann,,Descrição não disponível,1996,pt-BR,395
